supply_point_index,x_coordinate,y_coordinate,total_parking_slots,existing_num_SCS,existing_num_FCS,,,smax,,,,,
0,50.1631097,19.41201447,23,5,3,,,2200,,,,,
1,37.33645053,58.11922465,27,4,7,,,3600,,,,,
2,46.70923189,57.52565043,31,6,14,,,6800,,,,,
3,30.5286257,55.37983538,26,5,5,,,3000,,,,,
4,51.52178093,35.11675545,32,11,6,,,4600,,,,,
5,32.50820112,59.70136475,28,9,6,,,4200,,,,SCS,570
6,38.60388019,37.60749211,25,9,8,,,5000,,,,,
7,38.16235914,24.63367334,32,6,6,,,3600,,,,FCS,619
8,39.21748351,42.0262009,30,9,1,,,2200,,,,,
9,15.55427981,46.81531013,21,6,5,,,3200,,,,Cif,1498.5
10,52.21843818,6.438881294,14,6,0,,,1200,,,,,
11,36.86098867,25.0374022,21,9,4,,,3400,,,,,
12,16.04398971,38.19464918,22,5,5,,,3000,,,,,
13,36.42321533,32.55040832,28,7,5,,,3400,,,,,
14,56.02709707,36.36169094,30,4,12,,,5600,,,,,
15,56.56800987,31.6532909,24,5,6,,,3400,,,,,
16,50.709858,55.12703383,13,4,2,,,1600,,,,,
17,13.30202264,37.5760323,7,4,0,,,800,,,,,
18,33.21623864,28.70683428,26,1,8,,,3400,,,,,
19,49.73440989,27.59814558,28,6,8,,,4400,,,,,
20,31.91338188,42.88436168,23,6,8,,,4400,,,,,
21,50.18666036,53.90933293,28,10,8,,,5200,,,,,
22,45.96042571,51.65154432,20,5,4,,,2600,,,,,
23,5.417160757,55.6093001,24,4,7,,,3600,,,,,
24,14.40580184,2.600449705,20,7,3,,,2600,,,,,
25,32.31998033,57.66979052,28,6,10,,,5200,,,,,
26,38.31131287,52.8445835,31,7,11,,,5800,,,,,
27,50.62657355,24.86840897,29,8,4,,,3200,,,,,
28,26.31297256,39.15333532,32,11,6,,,4600,,,,,
29,56.40170339,39.04766355,28,6,3,,,2400,,,,,
30,40.46800896,21.62338431,19,5,2,,,1800,,,,,
31,51.85605436,33.21646779,33,6,9,,,4800,,,,,
32,42.65671376,36.59499687,34,7,10,,,5400,,,,,
33,49.88132548,44.70415569,29,6,7,,,4000,,,,,
34,4.501085816,22.99221215,19,5,1,,,1400,,,,,
35,54.98723895,11.96746896,9,2,1,,,800,,,,,
36,6.565148131,37.17436042,30,4,9,,,4400,,,,,
37,18.62780923,26.86626418,13,4,4,,,2400,,,,,
38,8.462963868,1.315175721,20,5,4,,,2600,,,,,
39,50.92205796,28.55452057,29,6,6,,,3600,,,,,
